time,latitude,longitude,depth,mag
2021-10-24T18:44:09.292Z,38.1687,-117.9999,2.4,0.9
2021-10-24T18:19:38.538Z,63.0601,-150.9416,120.6,1.4
2021-10-24T18:15:45.420Z,19.15800095,-155.47966,32.27999878,2.54
2021-10-24T18:13:41.078Z,63.1602,-150.98,125.9,2.1
2021-10-24T18:12:25.176Z,61.4578,-148.3816,17.6,1
2021-10-24T18:11:02.400Z,19.15366745,-155.4490051,33.38999939,2.49000001
2021-10-24T18:05:16.270Z,35.706,-117.5061667,3.5,0.92
2021-10-24T17:55:10.730Z,35.518,-83.9618333,7.62,2.72
2021-10-24T17:47:51.915Z,86.307,34.585,10,4.7
2021-10-24T17:44:47.020Z,19.14299965,-155.4564972,31.62999916,2
2021-10-24T17:29:29.335Z,-44.869,-76.0732,15.24,4
2021-10-24T16:52:35.330Z,-24.3248,-67.3429,190.65,4.2
2021-10-24T16:38:40.420Z,17.9566,-67.1061,10,3.12
2021-10-24T16:22:15.360Z,37.5056667,-118.8385,3.06,0.95
2021-10-24T16:16:58.420Z,17.9605,-67.1071,9,3.29
2021-10-24T15:58:46.340Z,35.7048333,-117.5096667,6.07,1.09
2021-10-24T15:55:10.520Z,37.0353317,-121.4654999,8.37,1.34
2021-10-24T15:53:53.347Z,60.4181,-143.0493,0,1.5
2021-10-24T15:51:33.440Z,19.25333405,-155.3861694,31.80999947,2
2021-10-24T15:47:35.860Z,19.19466591,-155.4881592,35.27999878,1.85000002
2021-10-24T15:42:02.780Z,33.9943333,-117.1761667,12.92,1.01
2021-10-24T15:38:56.270Z,34.4975,-119.7115,11.3,1.43
2021-10-24T15:25:34.823Z,61.2454,-150.0941,42,1.8
2021-10-24T15:18:35.712Z,61.7603,-151.7603,89.3,1.7
2021-10-24T15:03:32.375Z,38.1732,-117.8781,4.8,1.4
2021-10-24T14:56:44.003Z,-57.3052,-25.3153,35,4.8
2021-10-24T14:44:59.700Z,19.16783333,-155.4700012,34.79999924,2.08999991
2021-10-24T14:41:01.109Z,16.0937,-97.8692,19.57,4.4
2021-10-24T14:27:29.170Z,34.0245,-118.2408333,15.43,1.33
2021-10-24T14:26:21.551Z,31.59445233,-104.0018155,7.93112793,2.9
2021-10-24T14:25:40.158Z,64.2993,-148.0895,18.2,1.2
2021-10-24T14:11:11.080Z,34.0198333,-118.1891667,14.2,1.94
2021-10-24T14:08:01.180Z,33.994,-117.1766667,14.42,1.49
2021-10-24T14:06:00.370Z,34.0075,-118.225,15.3,1.23
2021-10-24T14:01:02.280Z,34.0168333,-118.1973333,17.15,3.61
2021-10-24T13:57:59.730Z,17.9666,-66.8395,15,3.04
2021-10-24T13:47:13.410Z,41.0686667,-121.969,6.2,1.36
2021-10-24T13:41:38.820Z,33.2831667,-116.2443333,10.21,1.67
2021-10-24T13:26:59.630Z,37.5858345,-122.3436661,11.89,1.83
2021-10-24T13:23:13.340Z,17.9385,-66.843,14,2.26
2021-10-24T13:16:15.000Z,36.2635,-117.889,2.71,1.21
2021-10-24T13:15:00.920Z,36.2643333,-117.8835,1.46,1.24
2021-10-24T13:06:37.650Z,37.5945,-119.0088333,0.93,1.3
2021-10-24T12:48:44.800Z,34.039,-117.2365,17.99,1.22
2021-10-24T12:34:00.400Z,19.24250031,-155.3996735,32.56000137,1.84000003
2021-10-24T12:24:54.879Z,63.5417,-147.0011,187,2
2021-10-24T12:24:14.780Z,37.5965,-118.9933333,1.94,0.72
2021-10-24T12:11:40.803Z,43.1788,-126.3945,10,4.7
2021-10-24T11:53:57.946Z,61.2109,-150.2976,39,2.3
2021-10-24T11:36:48.382Z,60.2213,-152.3271,87,1.8
2021-10-24T11:30:07.960Z,38.8341675,-122.8101654,1.98,1.24
2021-10-24T11:26:04.335Z,64.6602,-146.9175,19.1,0.9
2021-10-24T11:22:56.716Z,60.8657,-145.7775,17.2,1.7
2021-10-24T11:19:49.780Z,33.4926667,-116.783,3.05,1.5
2021-10-24T11:16:28.890Z,38.8349991,-122.8058319,3.07,1.18
2021-10-24T11:14:46.640Z,38.8390007,-122.8164978,0.59,1.18
2021-10-24T11:10:51.670Z,38.8348351,-122.8075027,2.3,2.62
2021-10-24T11:08:43.400Z,48.3951667,-113.8383333,7.87,1.18
2021-10-24T11:03:17.859Z,38.5461,-118.1474,3.2,1.6
2021-10-24T11:01:50.350Z,38.9595,-123.4161667,6.95,1.11
2021-10-24T11:01:31.051Z,60.9516,-148.9083,20.1,2
2021-10-24T10:59:22.880Z,39.0465,-123.327,-0.52,1
2021-10-24T10:57:26.986Z,63.3927,-150.4344,5,1.5
2021-10-24T10:51:49.810Z,32.6088333,-115.526,1.8,2.18
2021-10-24T10:49:28.350Z,19.2310009,-155.4320068,33.31000137,1.92999995
2021-10-24T10:43:51.951Z,63.084,-150.5042,81,1.9
2021-10-24T10:42:05.950Z,35.7215,-117.5276667,5.52,0.7
2021-10-24T10:34:13.730Z,38.8138351,-122.7779999,1.55,0.5
2021-10-24T10:25:25.208Z,38.1534,-118.9425,0.7,1.1
2021-10-24T10:22:21.717Z,10.8761,-86.4084,35,4.4
2021-10-24T10:20:35.372Z,63.9101,-148.8324,102.4,2
2021-10-24T09:53:20.710Z,38.7813339,-122.7628326,-0.34,0.36
2021-10-24T09:47:29.690Z,35.899,-117.7206667,5.79,0.9
2021-10-24T09:43:56.636Z,-9.6458,108.0299,10,4.3
2021-10-24T09:35:08.839Z,38.2179,-117.7218,3.6,1.4
2021-10-24T09:33:24.570Z,38.8578339,-122.8335037,1.86,1.13
2021-10-24T09:29:52.372Z,62.614,-151.3254,89.9,1.7
2021-10-24T09:23:19.990Z,33.6675,-116.7036667,16.84,0.71
2021-10-24T09:22:35.263Z,38.5733,-119.481,6.9,0.9
2021-10-24T08:40:56.071Z,38.0918,-119.135,7.9,1.3
2021-10-24T08:20:21.446Z,16.0114,-60.3382,38.34,4.4
